mezcalW18-20180223-NH-S1-MbD-Moc1-N4,117-1-4*,4,5.65,
mezcalW18-20180223-NH-S1-MbD-Moc1-N4,117-1-4*,5,4.49,
mezcalW18-20180223-NH-S1-MbD-Moc1-N4,117-1-4*,6,3.67,
mezcalW18-20180223-NH-S1-MbD-Moc1-N4,117-1-4*,7,3.88,
mezcalW18-20180223-NH-S1-MbD-Moc1-N4,117-1-4*,8,3.84,
mezcalW18-20180223-NH-S1-MbD-Moc1-N4,117-1-4*,9,3.79,Head segmented
mezcalW18-20180223-NH-S1-MbD-Moc1-N4,117-1-4*,10,3.5,
mezcalW18-20180223-NH-S1-MbD-Moc1-N4,117-1-4*,11,2.96,
mezcalW18-20180223-NH-S1-MbD-Moc1-N4,117-1-4*,12,3.29,
mezcalW18-20180223-NH-S1-MbD-Moc1-N4,117-1-4*,13,3.25,
mezcalW18-20180223-NH-S1-MbD-Moc1-N4,117-1-4*,14,2.87,
mezcalW18-20180223-NH-S1-MbD-Moc1-N4,117-1-4*,15,2.7,
mezcalW18-20180223-NH-S1-MbD-Moc1-N4,117-1-4*,16,2.21,Measurement inaccurate; tail broken
mezcalW18-20180223-NH-S1-MbD-Moc1-N4,117-1-4*,17,2.63,
mezcalW18-20180223-NH-S1-MbD-Moc1-N4,117-1-4*,18,3.46,
mezcalW18-20180223-NH-S1-MbD-Moc1-N4,117-1-4*,19,2.92,
mezcalW18-20180223-NH-S1-MbD-Moc1-N4,117-1-4*,20,3.18,
mezcalW18-20180223-NH-S1-MbD-Moc1-N4,117-1-4*,21,2.8,
mezcalW18-20180223-NH-S1-MbD-Moc1-N4,117-1-4*,22,3.04,
,,,,
mezcalW18-20180223-NH-S1-MbD-Moc1-N4,117-1-4,1,9.83,
mezcalW18-20180223-NH-S1-MbD-Moc1-N4,117-1-4,2,6.74,"Head damaged, missing both eyes"
